Date,Open,High,Low,Close,Volume
Oct 9 2014,77.28,77.76,75.85,75.91,32487174
Oct 8 2014,76.18,77.71,75.10,77.52,32975514
Oct 7 2014,77.05,77.95,76.24,76.29,25317488
Oct 6 2014,77.19,77.89,76.85,77.56,25729191
Oct 3 2014,77.76,78.06,77.26,77.44,23340173
Oct 2 2014,76.57,77.48,75.64,77.08,36487612
Oct 1 2014,78.78,78.82,75.90,76.55,55090157
Sep 30 2014,79.35,79.71,78.60,79.04,35899444
Sep 29 2014,78.12,79.20,77.91,79.00,34030635
Sep 26 2014,77.59,78.84,77.33,78.79,28872012
Sep 25 2014,78.60,78.94,77.13,77.22,37532580
Sep 24 2014,78.10,78.62,77.51,78.54,30679642
Sep 23 2014,76.33,78.63,76.04,78.29,36814111
Sep 22 2014,77.00,77.53,75.95,76.80,31961015
Sep 19 2014,77.40,78.30,76.44,77.91,76671330
Sep 18 2014,76.77,77.33,76.52,77.00,23030936
Sep 17 2014,75.96,77.25,75.57,76.43,28693348
Sep 16 2014,73.52,76.23,73.07,76.08,37742482
Sep 15 2014,77.15,77.25,73.43,74.58,49679130
Sep 12 2014,78.02,78.30,77.10,77.48,26744356
Sep 11 2014,77.13,78.36,77.05,77.92,32247724
Sep 10 2014,76.52,77.95,76.51,77.43,29908606
Sep 9 2014,77.59,78.17,76.20,76.67,28881803
Sep 8 2014,77.26,78.17,77.01,77.89,28183156
Sep 5 2014,76.10,77.38,75.60,77.26,29475854
Sep 4 2014,75.89,76.93,75.53,75.95,26676444
Sep 3 2014,77.14,77.48,75.60,75.83,32389102
Sep 2 2014,75.01,76.70,74.82,76.68,34979438
Aug 29 2014,74.30,74.82,74.01,74.82,26241162
Aug 28 2014,74.00,74.43,73.73,73.86,21946738
Aug 27 2014,75.27,75.49,74.46,74.63,36323060
Aug 26 2014,75.00,75.99,74.73,75.96,23992668
Aug 25 2014,74.94,75.28,74.79,75.02,19734103
Aug 22 2014,74.34,74.73,73.57,74.57,20897393
Aug 21 2014,74.92,75.19,74.41,74.57,20101979
Aug 20 2014,74.97,75.18,74.62,74.81,22916678
Aug 19 2014,74.81,75.58,74.77,75.29,26678640
Aug 18 2014,74.00,74.72,73.96,74.59,23973658
Aug 15 2014,74.32,74.65,73.00,73.63,38909161
Aug 14 2014,73.97,74.38,73.69,74.30,22207019
Aug 13 2014,73.12,74.25,73.05,73.77,29265662
Aug 12 2014,73.09,73.33,72.22,72.83,27418983
Aug 11 2014,73.46,73.91,73.06,73.44,24591177
Aug 8 2014,73.40,73.43,72.56,73.06,27202325
Aug 7 2014,73.00,74.00,72.70,73.17,38140550
Aug 6 2014,72.02,73.72,71.79,72.47,30985533
Aug 5 2014,73.51,73.59,72.18,72.69,34986147
Aug 4 2014,72.36,73.88,72.36,73.51,30776819
Aug 1 2014,72.22,73.22,71.55,72.36,43535314
Jul 31 2014,74.00,74.16,72.44,72.65,43991772
Jul 30 2014,74.21,75.19,74.13,74.68,36853018
Jul 29 2014,74.72,74.92,73.42,73.71,41324470
Jul 28 2014,75.17,75.50,73.85,74.92,41725249
